id,host_id,street,city,suburb,state,zipcode,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,calendar_updated,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,reviews_per_month
6429136,9765913,Melbourne,Melbourne,Melbourne,Victoria,3000,-37.81202971,144.9597787,Apartment,Entire home/apt,5,2,4,180,,,200,29,4,20,2,28,2 days ago,t,4,26,56,124,309,98,10,10,10,10,10,10,1,7.15
28949914,182336034,Melbourne,Melbourne,Melbourne,VIC,3000,-37.82011586,144.9568914,Apartment,Private room,1,1,1,40,,,,,1,0,1,1125,2 months ago,t,16,45,75,341,14,81,8,8,9,9,9,9,2,7.12
20961066,47823384,Saint Kilda,Port Phillip,Saint Kilda,VIC,3182,-37.85689071,144.9827787,Apartment,Entire home/apt,3,1,2,119,,,200,49,2,25,1,1125,3 months ago,t,15,34,64,326,106,97,10,10,10,10,10,10,6,7.1
28986534,210385594,Southbank,Melbourne,Southbank,VIC,3006,-37.82265242,144.9636448,Condominium,Entire home/apt,6,2,3,199,,,250,90,4,20,2,1124,today,t,24,49,74,127,13,100,10,10,10,10,10,10,1,7.09
16681394,28194798,Docklands,Melbourne,Docklands,VIC,3008,-37.81464539,144.9383956,Condominium,Entire home/apt,4,1,3,105,,,131,15,2,10,1,1125,5 days ago,t,0,9,9,15,162,95,10,10,10,9,10,10,1,7.05
9440938,30900122,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81459008,144.9522719,Apartment,Entire home/apt,3,1,2,132,,,200,65,2,15,1,1125,today,t,10,18,45,307,260,97,10,10,10,10,10,10,35,7
21220858,99945181,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81493851,144.9533295,Serviced apartment,Entire home/apt,5,2,3,158,,,150,65,4,40,1,1125,2 weeks ago,t,0,6,29,275,89,97,10,10,10,10,10,10,5,6.99
29187053,153112010,Docklands,Melbourne,Docklands,VIC,3008,-37.81600769,144.9468296,Condominium,Shared room,1,1,1,35,,,,,1,0,1,30,2 weeks ago,t,10,36,66,87,13,94,10,10,10,10,10,9,4,6.96
27373657,180074766,Melbourne,Melbourne,Melbourne,VIC,3000,-37.80768167,144.9595462,Apartment,Entire home/apt,8,3,4,269,,,350,109,6,15,1,1125,today,t,10,27,47,203,29,85,9,9,8,9,10,9,38,6.96
16760938,108498625,Southbank,Melbourne,Southbank,VIC,3006,-37.82637198,144.963859,Apartment,Entire home/apt,3,1,2,180,,,,29,2,20,1,30,today,t,4,13,32,107,149,95,10,10,10,10,9,9,1,6.91
2694616,13791040,South Melbourne,Port Phillip,South Melbourne,VIC,3205,-37.83385922,144.9581136,Guest suite,Entire home/apt,2,1,1,100,800,3200,250,20,1,0,1,7,4 days ago,t,6,6,29,119,63,99,10,10,10,10,10,10,1,6.9
1603051,8530753,Melbourne,Melbourne,Melbourne,VIC,3000,-37.80754427,144.9667071,Loft,Entire home/apt,3,1,1,129,839,3649,199,69,2,0,1,1124,today,t,21,45,75,346,439,87,9,9,9,9,10,9,98,6.9
13741449,35789055,Melbourne,Melbourne,Melbourne,VIC,3004,-37.81537177,144.9525017,Apartment,Entire home/apt,7,2,5,169,,,250,65,4,15,1,1125,yesterday,t,8,23,45,132,203,91,10,9,10,10,10,9,40,6.87
26269131,197471912,Prahran,Stonnington,Prahran,VIC,3181,-37.84811698,144.994597,Loft,Entire home/apt,5,1,1,140,,,,35,1,0,1,1125,today,t,19,38,60,333,37,98,10,10,10,10,10,10,1,6.85
16381823,78404693,Docklands,Melbourne,Docklands,Victoria,3008,-37.81536524,144.9404233,Apartment,Entire home/apt,4,2,2,159,,,300,95,4,45,1,14,1 week ago,t,2,2,7,236,157,99,10,10,10,10,10,10,2,6.83
13627321,10810140,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81950434,144.9557418,Apartment,Entire home/apt,6,2,2,244,,,260,60,4,30,3,125,today,t,4,12,32,295,200,99,10,10,10,10,10,10,5,6.8
21013424,151310803,Healesville,Yarra Ranges,Healesville,VIC,3777,-37.65830232,145.5291102,Guesthouse,Entire home/apt,4,1,1,100,,,0,0,2,25,1,1125,2 months ago,t,13,39,66,339,100,96,10,10,10,10,10,10,1,6.8
25815047,193799033,Southbank,Melbourne,Southbank,VIC,3006,-37.82284117,144.9639633,Apartment,Private room,2,1,1,80,,,150,,1,0,1,1125,3 weeks ago,t,13,35,59,59,41,91,9,9,9,9,10,9,1,6.8
28228724,213225288,South Melbourne,Port Phillip,South Melbourne,VIC,3205,-37.83083273,144.949231,Apartment,Entire home/apt,5,2,2,165,,,350,70,4,30,1,1125,yesterday,t,6,14,32,84,19,96,10,9,10,10,9,9,8,6.79
20138766,143116895,Docklands,Melbourne,Docklands,VIC,3008,-37.82122395,144.9436381,Apartment,Entire home/apt,9,2,6,150,,,300,70,4,20,2,200,4 weeks ago,t,5,17,38,57,110,97,10,10,10,10,10,10,7,6.78
27580966,113949496,Melbourne,Melbourne,Melbourne,VIC,3000,-37.8205753,144.9562276,Apartment,Entire home/apt,4,1,2,129,,,199,79,3,14,1,1124,today,t,19,49,79,354,21,85,9,10,9,9,9,9,7,6.77
21492494,50686026,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81174375,144.9569387,Apartment,Entire home/apt,2,0,1,130,,,200,60,2,15,3,90,3 weeks ago,t,12,12,12,49,87,97,10,9,10,10,10,10,2,6.76
26170293,59577171,Melbourne,Melbourne,Melbourne,VIC,3004,-37.8087298,144.9616983,Apartment,Entire home/apt,4,2,2,119,,,300,40,2,8,1,60,today,t,9,31,61,82,36,94,10,9,10,10,10,10,2,6.75
21521114,12120178,Maribyrnong,Maribyrnong,Maribyrnong,VIC,3032,-37.77407606,144.8930696,Apartment,Entire home/apt,6,2,4,180,,,250,40,4,35,2,1125,today,t,10,31,54,329,89,98,10,10,10,10,10,10,1,6.71
15328278,20137311,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81691476,144.9726979,Apartment,Entire home/apt,2,1,1,199,,,,,1,0,1,1125,today,t,24,51,81,356,172,93,9,9,10,10,10,9,7,6.68
18452997,10810140,Melbourne,Melbourne,Melbourne,VIC,3000,-37.81551679,144.9709261,Apartment,Entire home/apt,4,2,2,226,,,200,60,3,0,3,125,today,t,4,20,36,294,129,99,10,10,10,10,10,10,5,6.67
